"","Year","Reginal_Zone","Province_Code","Planted_Area","Harvested_Area","Production_Ton","Yield_HA_Area","Sale_Price","Highest_Price","Lowest_Price","Peak_Price","Compitation_Price","Fertilizer1_Price","Fertilizer2_Price","Fertilizer3_Price","Fertilizer_Use","Cost","Yield_PA_Area"
"Year",1,-0.013903865605066,-0.00900837631538162,0.00466052660767013,0.0248173049769006,0.00363126394377034,0.293977457484168,0.597106575894916,0.358115041689874,0.714298911578755,0.582812190386306,0.587618307140095,-0.583094346266067,-0.521375548439155,-0.534222390305203,0.330468787749023,0.968560995773553,0.36437775645724
"Reginal_Zone",-0.013903865605066,1,0.74903831298231,0.0688198537724844,0.0900961379100949,-0.0810701625872605,0.134550346566974,-0.0175335589826959,-0.0417542393592353,-0.0134245984241261,-0.0351995372591155,-0.312024582684185,0.00493215569037546,0.00493596037927391,0.00532399639061512,0.249529208749328,0.0874112742430821,0.189042050765227
"Province_Code",-0.00900837631538162,0.74903831298231,1,0.149962422408575,0.135104333328487,-0.167356334177788,-0.0576281535257643,-0.0274929497359463,-0.0267931067518968,-0.0236488938485383,-0.0288246701401765,-0.350111369968904,0.00256390255680381,0.00264025202548042,0.00282472614972537,0.274771321373312,0.0511263515969369,-0.0438923571679263
"Planted_Area",0.00466052660767013,0.0688198537724844,0.149962422408575,1,0.875922192808834,-0.375253389237916,-0.0496562184876174,-0.0381547690406064,0.0036800127763436,-0.023918920037057,-0.023638497036325,-0.0112387765879743,0.0193143673850202,0.0175565087287297,0.0167528064256905,-0.0114051476708824,0.0142487359007784,-0.0645585940563243
"Harvested_Area",0.0248173049769006,0.0900961379100949,0.135104333328487,0.875922192808834,1,-0.33903634775342,-0.00581468118004481,-0.0131664691404407,0.000389753880216434,-0.00115847254091853,-0.00918203043245808,-0.0182192541623316,0.0106614791209714,0.00537297247943173,0.00439794693666404,0.0120766912638013,0.0381686989441735,-0.0162511882314194
"Production_Ton",0.00363126394377034,-0.0810701625872605,-0.167356334177788,-0.375253389237916,-0.33903634775342,1,0.0609764180517065,0.0351324077508564,-0.0111735836871707,0.0352059464407613,0.0156595614542268,0.0536546971524466,-0.0220019324738897,-0.0360180935336737,-0.0364028283541447,0.000781004797571618,0.00577991359523876,0.0685573088864957
"Yield_HA_Area",0.293977457484168,0.134550346566974,-0.0576281535257643,-0.0496562184876174,-0.00581468118004481,0.0609764180517065,1,0.18485988249349,0.0171040971387968,0.237271880036027,0.129718172795409,0.219556482670082,-0.163433567613894,-0.13475405677728,-0.138149893570555,0.620092891268187,0.364482721833408,0.850628260112588
"Sale_Price",0.597106575894916,-0.0175335589826959,-0.0274929497359463,-0.0381547690406064,-0.0131664691404407,0.0351324077508564,0.18485988249349,1,0.142115149965902,0.864485774752118,0.714723341955338,0.432771330958612,-0.440524354316241,-0.453036857237135,-0.438501145867593,0.178080220501191,0.629823110893017,0.235861130864611
"Highest_Price",0.358115041689874,-0.0417542393592353,-0.0267931067518968,0.0036800127763436,0.000389753880216434,-0.0111735836871707,0.0171040971387968,0.142115149965902,1,0.159432759394152,0.45282395522211,0.25785783779334,-0.255087149154654,-0.213572618967922,-0.226033896961483,0.0255810251437836,0.299876042332144,0.0573227488020251
"Lowest_Price",0.714298911578755,-0.0134245984241261,-0.0236488938485383,-0.023918920037057,-0.00115847254091853,0.0352059464407613,0.237271880036027,0.864485774752118,0.159432759394152,1,0.737694281534016,0.527653501441992,-0.549139423402884,-0.562526623937618,-0.548079189701565,0.230552671532277,0.752485257540786,0.280545433635649
