"output_yield","planted_area","harvested_area","production_ton","yield_ha_area","sale_price","fertilizer_use","cost","Temp","RainDay","Rainfall"
528,216981,212730,114566,539,3824.46,6.28,1000,7,2,7
523,150848,150602,78894,524,3824.46,3.91,1000,6,3,3
475,11219,11113,5329,480,3824.46,3.3,1000,7,5,3
458,24881,24825,11395,459,3824.46,21.13,1000,20,9,8
510,147707,147262,75331,512,3824.46,9.43,1000,27,1,5
297,83441,83261,24782,298,3824.46,0.74,1000,20,3,4
390,147395,143771,57484,400,3824.46,6.53,1000,9,17,6
421,1397097,1377944,588178,427,3824.46,10.25,1000,30,12,10
357,770183,751272,274955,366,3824.46,5.91,1000,25,9,3
603,706,706,426,603,3824.46,8.93,1000,25,9,1
394,350645,346347,138154,399,3824.46,6.28,1000,30,0,10
424,1099116,1070812,466025,435,3824.46,15.35,1000,26,10,0
337,1683255,1671541,567257,339,3824.46,16.99,1000,23,13,5
373,2233072,2153776,832936,387,3824.46,14.07,1000,0,7,3
319,591676,580160,188745,325,3824.46,5.54,1000,1,8,1
476,943513,929735,449112,483,3824.46,0.99,1000,21,9,7
303,7394,7383,2240,303,3824.46,0.23,1000,8,1,5
251,415535,400421,104299,260,3824.46,6.7,1000,9,13,6
247,121327,116603,29968,257,3824.46,7.2,1000,6,15,4
274,289591,286414,79348,277,3824.46,6.94,1000,13,17,1
256,212508,210131,54402,259,3824.46,6.65,1000,29,10,1
268,35683,34742,9563,275,3824.46,10.88,1000,15,0,9
231,433562,424442,100153,236,3824.46,14.8,1000,14,10,5
241,1446672,1439908,348648,242,3824.46,13.12,1000,0,15,5
258,1852462,1834359,477935,261,3824.46,21.59,1000,4,17,3
251,2205219,2176070,553510,254,3824.46,21.67,1000,11,14,3
249,2081011,1979496,518172,262,3824.46,13.91,1000,19,3,5
235,280148,272902,65835,241,3824.46,10.83,1000,4,0,8
242,1058967,1027790,256270,249,3824.46,18.07,1000,29,13,2
328,147628,136500,48422,355,3824.46,9.62,1000,12,14,4
299,247349,233247,73957,317,3824.46,8.84,1000,30,9,10
247,682283,605678,168524,278,3824.46,10.09,1000,24,6,10
232,2496554,2216873,579201,261,3824.46,13.02,1000,3,6,1
420,677904,672873,284720,423,3824.46,33.67,1000,7,2,7
352,990429,959592,348631,363,3824.46,10.15,1000,29,15,8
468,410380,402983,192058,477,3824.46,21.94,1000,22,5,8
443,974320,957052,431624,451,3824.46,16.08,1000,18,3,5
439,1120783,1039703,492024,473,3824.46,35.12,1000,10,3,7
