"","actual","predicted.gaussian","predicted.poission","predicted.quasi"
"728",332,338.315578405602,5.86350560889638,338.315578405602
"425",282,292.917570581261,5.69699106742335,292.917570581261
"1239",700,696.16020991622,6.57387333469273,696.16020991622
"1910",378,352.647667244375,5.84854201372874,352.647667244375
"1213",546,572.735392890529,6.3417000373691,572.735392890529
"1110",343,330.482709355594,5.74983257942284,330.482709355594
"1726",404,409.330432168303,6.01468312842493,409.330432168303
"1515",508,518.304566467946,6.25742788487905,518.304566467946
"644",244,293.998327491932,5.7513266495288,293.998327491932
"1895",577,615.520718589453,6.45063448386962,615.520718589453
"449",443,397.726832090737,5.95413334243672,397.726832090737
"141",317,271.866948448897,5.62530207652862,271.866948448897
"881",254,285.686332774587,5.69919894377389,285.686332774587
"2013",232,297.41437352113,5.65474834205477,297.41437352113
"162",262,262.996794007103,5.55955850820146,262.996794007103
"1119",385,399.571206955167,5.96625244756702,399.571206955167
"75",474,428.024222397197,5.98726720764163,428.024222397197
"799",689,648.247750641825,6.46727931156441,648.247750641825
"1919",359,369.83164351713,5.91296013465749,369.83164351713
"1722",434,384.541148989713,5.96340511639852,384.541148989713
"658",269,291.944882097717,5.66895839728237,291.944882097717
"1506",519,513.630801361704,6.25572158589509,513.630801361704
"1970",572,582.581415570141,6.39517296969869,582.581415570141
"2116",390,395.975692196367,5.97035659392447,395.975692196367
"1384",345,328.042867664467,5.76436934481554,328.042867664467
"836",374,339.050297421958,5.83542165710649,339.050297421958
"1752",353,347.973190375292,5.82966098166465,347.973190375292
"1234",306,326.076713514742,5.74105634729629,326.076713514742
"1400",298,293.37561416828,5.6975045568764,293.37561416828
"421",411,464.243912649934,6.1241918265268,464.243912649934
"115",241,466.167439404041,6.00289272941664,466.167439404041
"252",291,261.336309161166,5.60353752680175,261.336309161166
"1695",553,605.544365154235,6.37846477389494,605.544365154235
"1246",371,373.675105935091,5.88393346747722,373.675105935091
"1733",516,523.571286239086,6.2643564785949,523.571286239086
"1660",412,424.902922838801,6.07001218916091,424.902922838801
"1046",348,355.580528158555,5.87134829090979,355.580528158555
"1541",692,668.930083157971,6.52094012176043,668.930083157971
"1781",620,617.654069174232,6.4350721216386,617.654069174232
"1882",392,396.632991965257,6.00087033510895,396.632991965257
"1714",665,643.465570860876,6.49032858394891,643.465570860876
"1417",351,384.628525432577,5.9819129149596,384.628525432577
"785",503,480.858062832548,6.16051771788192,480.858062832548
"1905",352,344.265956044753,5.81562867168998,344.265956044753
"91",225,231.134192442906,5.47212925151497,231.134192442906
"2061",282,282.583012850677,5.63004207461541,282.583012850677
"577",276,285.555286325686,5.67800822745981,285.555286325686
"1754",299,312.797266400951,5.74450598367799,312.797266400951
"1257",613,594.026906988017,6.39251445203858,594.026906988017
"632",494,479.575361069109,6.15453241408819,479.575361069109
"806",277,275.073428462748,5.62444787687013,275.073428462748
"733",314,363.130664433543,5.89485891338105,363.130664433543
"541",238,256.555311899904,5.58839503265417,256.555311899904
"132",229,222.139669602539,5.4570165678692,222.139669602539
"705",622,592.879164686246,6.37312668548711,592.879164686246
"1416",327,324.229513931727,5.78065119169861,324.229513931727
"1893",581,593.599420803185,6.42387744305008,593.599420803185
"1087",709,707.582227951748,6.61444155669716,707.582227951748
"1042",430,443.10852801051,6.08472673985574,443.10852801051
"1247",544,579.459441412895,6.37776702766667,579.459441412895
"1668",443,449.385641229166,6.04189457558189,449.385641229166
"398",237,245.961336986635,5.51996822414878,245.961336986635
"2103",386,401.49137665685,5.95951320968015,401.49137665685
"920",305,293.579443205303,5.67308785114322,293.579443205303
"2075",318,320.692360134292,5.74730455240585,320.692360134292
"1738",442,450.80093810028,6.11625466243321,450.80093810028
"233",376,356.757406533127,5.85447034288537,356.757406533127
"738",368,395.260984570634,5.9642611790498,395.260984570634
"830",358,439.286898096724,6.08272758221426,439.286898096724
"1298",347,334.096892904825,5.80053994668621,334.096892904825
"535",286,262.975152506482,5.60792405758922,262.975152506482
"2066",335,330.210329027815,5.78327374572455,330.210329027815
"1338",297,319.243827061628,5.73463590815382,319.243827061628
"1010",689,648.145243385529,6.5124314285677,648.145243385529
"1035",422,371.545991054183,5.89336165132926,371.545991054183
"862",729,705.044895642665,6.5618115150788,705.044895642665
"135",384,326.410168197357,5.74663678033384,326.410168197357
"1687",304,269.013168274338,5.63448110137521,269.013168274338
"476",270,264.667714535537,5.66309594040717,264.667714535537
"493",476,586.882620749171,6.32838537308841,586.882620749171
"131",224,239.937519182784,5.53376643148288,239.937519182784
"1149",303,310.219952098701,5.71412817759246,310.219952098701
"1121",350,362.343369302694,5.85981956952329,362.343369302694
"886",305,301.970180128725,5.70097487836592,301.970180128725
"1596",393,381.971027240016,5.94929842288345,381.971027240016
"917",238,263.926187360608,5.60428634834823,263.926187360608
"1864",800,766.78791962089,6.65651049343933,766.78791962089
"1852",666,670.725421894153,6.53356714975439,670.725421894153
"968",345,349.740642928292,5.82761803415305,349.740642928292
"1155",345,354.54627043529,5.85852731866298,354.54627043529
"1627",535,554.654307984739,6.31775348002464,554.654307984739
"568",306,329.914533199248,5.79633901832708,329.914533199248
"1589",523,468.289330873282,6.13868643764209,468.289330873282
"1552",318,317.743277557371,5.7226354354027,317.743277557371
"376",342,342.855685114338,5.80304078305248,342.855685114338
"1925",679,694.902604524519,6.55998411541965,694.902604524519
"1489",380,350.42755234907,5.84901902691547,350.42755234907
"52",352,457.474214910826,6.12717266497954,457.474214910826
"2003",657,659.361059838839,6.50604429304961,659.361059838839
"21",256,253.408241294658,5.55631822610117,253.408241294658
"1885",366,381.597904631797,5.96197021120197,381.597904631797
"801",572,541.22076374996,6.27704268462607,541.22076374996
"1284",595,564.612683371757,6.35027148916153,564.612683371757
"1573",446,443.046834610347,6.09201560646399,443.046834610347
"495",613,614.172576936411,6.37628420842542,614.172576936411
"731",288,317.817201106075,5.76777752917485,317.817201106075
"1983",359,347.007263378005,5.82717206470424,347.007263378005
"711",630,588.92935631102,6.35970167086626,588.92935631102
"344",367,343.817561470078,5.86579644706509,343.817561470078
"1576",363,359.45594284137,5.8873054391877,359.45594284137
"1456",323,340.021899622544,5.80017553996578,340.021899622544
"2044",625,619.618579479304,6.45128176787736,619.618579479304
"1139",519,506.23247920017,6.21323488671699,506.23247920017
"1230",320,327.926958137815,5.77084966115573,327.926958137815
"24",241,249.130865587882,5.53764081564176,249.130865587882
"1078",302,325.586395722536,5.7560687740774,325.586395722536
