"","actual","predicted"
"407",573,566.413083333334
"923",309,309.442833333333
"384",324,308.7075
"1853",730,724.788766666667
"641",298,303.117933333333
"544",264,262.0853
"1071",282,283.8044
"1983",359,359.671477777778
"624",234,238.726633333333
"1510",496,506.269
"787",517,538.5029
"492",289,282.254733333333
"682",398,390.709
"1442",503,495.408233333333
"1288",502,510.333566666666
"966",365,357.628133333333
"1748",551,544.746566666666
"1321",462,469.7732
"974",424,422.510966666667
"2097",740,728.094695238095
"1600",327,321.982104761905
"1356",450,446.648066666667
"771",257,270.057514285714
"1776",717,716.243866666666
"1434",515,512.1318
"1996",362,358.350244444445
"1662",502,493.8703
"1371",324,320.566533333333
"194",287,281.807933333333
"951",689,672.782399999999
"1076",323,323.196133333333
"490",268,270.880166666667
"512",325,323.5422
"1568",335,334.660033333333
"283",304,297.017177350428
"1257",613,611.775266666667
"335",319,317.6661
"1152",308,314.216166666667
"168",236,237.81265
"1350",372,371.021233333333
"424",264,266.576333333333
"1974",460,503.462266666667
"1791",669,667.173566666667
"43",610,595.525633333333
"1889",604,598.004466666667
"1847",545,546.969066666667
"1436",596,592.970466666667
"380",324,316.307133333333
"859",569,595.196166666666
"247",282,293.579566666667
"1118",457,446.676233333333
"317",225,229.80785
"1586",508,505.052966666667
"1592",512,502.2752
"1679",335,329.732666666667
"2012",616,614.254166666666
"635",640,659.0289
"919",274,268.801633333333
"865",398,399.991466666667
"1375",300,302.9804
"1037",315,318.0476
"229",417,403.52891941392
"2116",390,387.306
"1085",711,700.308433333333
"1218",299,293.054866666667
"997",275,275.746074509804
"902",484,473.651666666667
"692",264,259.869129365079
"976",446,456.2662
"675",455,452.921233333333
"1192",344,348.296566666667
"1735",573,572.670033333334
"1438",612,608.053066666667
"1953",492,493.7245
"198",350,349.740133333333
"387",183,191.345116666667
"584",295,296.378416666667
"27",249,248.665295238095
"259",477,477.132533333334
"777",249,255.160017857143
"628",392,387.736333333333
"754",342,343.784266666667
"583",370,359.475
"862",729,715.201
"45",257,251.398211111111
"1314",657,667.63
"264",312,310.473188461539
"250",257,269.313533333333
"1221",274,280.122666666667
"1741",643,630.707066666667
"382",237,240.24125
"785",503,493.660966666667
"670",469,462.1102
"578",251,253.227
"999",315,311.241507843137
"66",236,246.40791489899
"1294",314,312.413833333333
"300",323,307.421233333333
"1412",421,421.2155
"279",253,251.428777350427
"1699",517,540.6478
"2098",597,588.3813
"8",421,405.747833333333
"1543",719,714.124733333333
"1376",322,318.1202
"1997",287,294.3018
"1464",515,517.740733333333
"1801",383,377.649409523809
"1234",306,305.954533333333
"1026",650,642.426066666667
"1254",631,633.954400000001
"1728",391,391.924666666667
"2115",356,354.244590476191
"882",260,261.778866666667
"905",370,373.538633333333
"737",393,382.935133333333
"1155",345,339.840212698413
"989",313,336.376352380952
"1341",336,334.079966666667
"796",314,320.378033333334
"478",639,619.051566666667
"992",290,285.977074509804
"766",269,269.0598
"1443",536,531.506566666667
"1317",575,591.607966666666
"1882",392,390.1698
"1172",305,312.072933333333
"2111",387,391.509566666667
"986",487,492.736733333333
"56",417,406.003766666667
"1895",577,573.821933333334
"451",269,317.212566666667
"1183",508,506.644133333333
"436",307,307.219433333333
"1417",351,345.9437
"274",393,389.472486080586
"185",664,659.4189
"515",318,314.202466666667
"362",325,324.883433333333
"1344",357,363.141566666667
"1855",746,737.493366666667
"192",330,335.3843
"1857",366,383.845233333333
"1677",325,329.1126
"1105",595,588.876423809524
"926",328,320.109966666666
"513",287,283.700933333333
"2",523,519.288583333333
"221",340,343.551219413919
"599",368,364.1901
"209",254,262.306971428572
"90",269,261.917658201058
"1427",528,523.354166666667
"1534",326,322.310533333333
"1993",371,366.917083333333
"353",493,494.931
"505",328,326.0117
"370",451,452.3985
"588",335,332.9421
"1433",441,439.880833333333
"1260",434,431.130066666667
"1815",445,444.441833333333
"891",329,328.072194444444
"1873",331,328.9507
"1740",570,564.629333333334
"253",500,489.984336080586
"1627",535,536.673933333334
"2017",465,465.931666666667
"844",284,281.933785606061
"175",225,219.070233333333
"38",439,447.431666666667
"1840",336,338.575542424242
"1613",252,265.678266666667
"1432",456,449.993533333334
"1637",636,639.920966666666
"1911",354,354.017966666667
"1476",309,303.304766666667
"1041",379,376.009466666667
"1567",434,430.2715
"555",540,549.692766666667
"458",235,246.5097
"1831",324,325.947866666667
"1528",316,312.831766666667
"468",276,270.584842857143
"346",492,485.7385
"278",275,284.485394017094
"1581",529,525.660766666667
"2071",353,351.556833333333
"1598",313,310.010757142857
"964",355,358.054566666667
"1039",382,380.782866666667
"1546",779,774.958066666667
"1361",510,507.15865
"1673",366,352.294066666667
"151",413,414.055623809524
"121",328,328.902847619048
"1556",399,396.894933333333
"1963",547,542.454333333333
"1241",613,602.487166666666
"1874",388,385.295166666667
"530",352,347.213233333333
"854",268,268.688166666667
"710",738,733.478266666667
"363",237,252.753433333333
"719",329,324.68
"1333",661,656.2742
"1967",615,611.397166666667
"527",368,369.624066666666
"1147",275,284.384166666667
"1029",551,551.238666666667
"2109",388,386.3882
"94",326,312.599496296296
"618",290,282.2807
"339",316,324.480066666667
"1929",649,645.015366666666
"480",313,350.243266666667
"799",689,682.346933333334
"162",262,275.033833333333
"798",591,585.058833333333
"1202",587,582.6818
"2051",604,598.299633333333
"706",516,515.8787
"65",245,246.533937121212
"884",320,316.967404761905
"2011",389,391.472433333334
"1841",340,334.194909090909
"434",354,345.444383333333
"488",250,254.765466666667
"452",302,357.299666666667
"1671",481,473.130366666666
"49",365,354.359766666667
"907",486,485.765766666667
"873",617,600.603533333333
"1482",639,643.1659
"1906",366,364.6367
"2054",576,574.594166666667
"863",602,596.640966666666
"294",524,517.530866666667
"46",468,451.3703
"1328",423,423.7624
"809",349,342.243014285714
"255",537,529.052016666667
"299",447,438.622866666667
"1920",285,292.391133333333
"340",321,322.834366666667
"563",407,403.426366666667
"867",468,459.9221
"443",396,400.3061
"1828",349,346.929275757576
"1475",549,547.947033333333
"1789",748,732.626466666666
"325",332,339.164366666667
"169",294,283.686366666667
"576",332,323.7685
"187",561,569.849899999999
"2056",570,561.110166666667
"1238",723,714.477433333334
"1704",559,551.910666666667
"345",413,414.168566666667
"580",314,310.25145
"760",345,354.419933333333
"1713",586,601.641666666667
"558",642,654.938966666666
"602",443,432.0127
"67",359,356.820325
"852",291,283.753758333333
"15",319,306.0466
"1734",562,557.320633333333
"1792",639,632.472566666667
"1554",391,389.9798
"1541",692,690.9589
"1378",368,365.313233333333
"1256",494,500.705233333333
"290",250,247.452466666667
"265",353,347.511967032967
"1758",269,279.766711111111
"426",275,274.130666666667
"252",291,341.163719413919
"1751",307,311.062176190476
"231",344,336.966786080586
"140",246,245.672700050875
"1808",349,339.376733333333
"967",309,312.304166666667
"1869",711,704.0526
"1547",748,746.602433333333
"1222",338,339.651333333333
"814",374,370.599666666667
"89",287,286.561234391534
"1553",320,323.6719
"1703",402,408.6885
"413",275,277.308066666667
"1209",397,393.964533333334
"1052",497,491.531133333333
"591",423,420.688366666667
"197",621,611.447033333334
"952",370,367.6603
"538",285,282.088666666667
"878",566,568.6927
"41",709,695.7186
"691",250,251.527915079365
"1694",505,539.686633333333
"2080",670,667.4837
"75",474,467.702336842106
"1267",338,339.823966666667
"506",282,283.983233333333
"1024",307,311.0041
"604",414,400.430504761905
"1407",674,678.776666666667
"1418",370,369.0305
"1014",766,768.785833333333
"1794",547,538.943133333334
"1281",432,434.6875
"561",343,340.9162
"2005",643,647.602233333333
"980",559,547.8434
"1449",287,285.665
"104",193,243.785971428571
"1485",673,669.112533333333
"1806",369,362.513666666667
"2075",318,313.4841
"748",308,319.9937
"1868",684,680.6634
"1033",428,414.698133333333
"1980",370,373.415833333333
"1739",601,592.3176
"305",231,241.326333333333
"802",560,552.8462
"267",328,330.584971794872
"885",320,320.9451
"2055",619,607.538933333333
"742",323,321.268233333333
"1205",439,441.0634
"1261",353,349.857433333333
"1012",636,650.8261
"1724",396,392.3955
"769",272,269.727208333333
"939",722,719.394899999999
"1615",529,555.964933333333
"707",675,661.1329
"648",365,358.383466666666
"904",545,539.2846
"1747",619,605.518533333333
"1228",333,331.143
"1223",290,294.565466666667
"1526",335,335.4955
"1875",313,324.6973
"1783",368,361.544933333333
"1496",370,373.6117
"166",368,350.666833333333
"981",291,306.835566666667
"1682",322,319.561166666667
"1790",604,603.7671
"701",256,254.874129365079
"182",522,526.623166666667
"206",240,243.1446
"709",485,478.1241
"569",706,656.282566666666
"1107",502,499.185433333333
"1559",699,691.642166666666
"438",310,312.3887
"479",547,561.904733333333
"251",356,354.89401941392
"1269",408,403.320566666667
"722",583,580.387223809524
"367",513,510.9969
"1956",445,443.429533333333
"1157",278,281.056783333333
"18",251,249.939133333333
"1843",290,294.132833333333
"730",276,277.785033333333
"890",333,335.731894444444
"1289",509,508.278566666667
"1217",290,289.613533333333
"856",320,334.378566666667
"1574",448,451.006966666667
"1502",367,370.844066666667
"546",223,229.087344444444
"779",417,418.236066666666
"973",504,514.777966666667
"673",349,360.622733333333
"909",438,429.897433333333
"1696",668,646.660433333333
"1414",308,306.809166666667
"1986",337,333.574433333333
"1934",433,420.992
"1338",297,300.6654
"1003",348,334.853
"1278",452,454.545466666667
"1524",320,316.5352
"358",373,377.566033333333
"2077",630,623.093366666667
"171",235,233.339916666667
"228",392,386.423052747253
"311",276,274.7006
"139",380,364.285304761905
"1273",360,358.892666666667
"483",499,515.982119047619
"1939",469,463.658766666667
"511",345,346.776366666667
