year,reginal_zone,province_code,planted_area,harvested_area,production_ton,yield_ha_area,sale_price,highest_price,lowest_price,peak_price,compitation_price,fertilizer1_price,fertilizer2_price,fertilizer3_price,fertilizer_use,cost,yield_pa_area
2532.00,12.00,10.00,216981.00,212730.00,114566.00,539.00,3824.46,4033.00,3743.00,3743.00,2969.17,4971.00,5375.00,5530.00,6.28,1000.00,528.00
2532.00,12.00,20.00,150848.00,150602.00,78894.00,524.00,3824.46,4033.00,3743.00,3743.00,2969.17,4971.00,5375.00,5530.00,3.91,1000.00,523.00
2532.00,12.00,30.00,11219.00,11113.00,5329.00,480.00,3824.46,4033.00,3743.00,3743.00,2969.17,4971.00,5375.00,5530.00,3.30,1000.00,475.00
2532.00,13.00,40.00,24881.00,24825.00,11395.00,459.00,3824.46,4033.00,3743.00,3743.00,2969.17,4971.00,5375.00,5530.00,21.13,1000.00,458.00
2532.00,13.00,50.00,147707.00,147262.00,75331.00,512.00,3824.46,4033.00,3743.00,3743.00,2969.17,4971.00,5375.00,5530.00,9.43,1000.00,510.00
2532.00,13.00,60.00,83441.00,83261.00,24782.00,298.00,3824.46,4033.00,3743.00,3743.00,2969.17,4971.00,5375.00,5530.00,0.74,1000.00,297.00
2532.00,9.00,70.00,147395.00,143771.00,57484.00,400.00,3824.46,4033.00,3743.00,3743.00,2969.17,4971.00,5375.00,5530.00,6.53,1000.00,390.00
2532.00,9.00,80.00,1397097.00,1377944.00,588178.00,427.00,3824.46,4033.00,3743.00,3743.00,352.00,4971.00,5375.00,5530.00,10.25,1000.00,421.00
2532.00,9.00,90.00,770183.00,751272.00,274955.00,366.00,3824.46,4033.00,3743.00,3743.00,352.00,4971.00,5375.00,5530.00,5.91,1000.00,357.00
2532.00,11.00,100.00,706.00,706.00,426.00,603.00,3824.46,4033.00,3743.00,3743.00,2969.17,4971.00,5375.00,5530.00,8.93,1000.00,603.00
2532.00,11.00,120.00,350645.00,346347.00,138154.00,399.00,3824.46,4033.00,3743.00,3743.00,352.00,4971.00,5375.00,5530.00,6.28,1000.00,394.00
2532.00,10.00,130.00,1099116.00,1070812.00,466025.00,435.00,3824.46,4033.00,3743.00,3743.00,352.00,4971.00,5375.00,5530.00,15.35,1000.00,424.00
2532.00,10.00,140.00,1683255.00,1671541.00,567257.00,339.00,3824.46,4033.00,3743.00,3743.00,352.00,4971.00,5375.00,5530.00,16.99,1000.00,337.00
2532.00,8.00,150.00,2233072.00,2153776.00,832936.00,387.00,3824.46,4033.00,3743.00,3743.00,352.00,4971.00,5375.00,5530.00,14.07,1000.00,373.00
2532.00,8.00,160.00,591676.00,580160.00,188745.00,325.00,3824.46,4033.00,3743.00,3743.00,352.00,4971.00,5375.00,5530.00,5.54,1000.00,319.00
2532.00,8.00,170.00,943513.00,929735.00,449112.00,483.00,3824.46,4033.00,3743.00,3743.00,352.00,4971.00,5375.00,5530.00,0.99,1000.00,476.00
2532.00,1.00,180.00,7394.00,7383.00,2240.00,303.00,3824.46,4033.00,3743.00,3743.00,335.80,4971.00,5375.00,5530.00,0.23,1000.00,303.00
2532.00,1.00,200.00,415535.00,400421.00,104299.00,260.00,3824.46,4033.00,3743.00,3743.00,335.80,4971.00,5375.00,5530.00,6.70,1000.00,251.00
2532.00,1.00,210.00,121327.00,116603.00,29968.00,257.00,3824.46,4033.00,3743.00,3743.00,335.80,4971.00,5375.00,5530.00,7.20,1000.00,247.00
2532.00,2.00,220.00,289591.00,286414.00,79348.00,277.00,3824.46,4033.00,3743.00,3743.00,335.80,4971.00,5375.00,5530.00,6.94,1000.00,274.00
2532.00,2.00,230.00,212508.00,210131.00,54402.00,259.00,3824.46,4033.00,3743.00,3743.00,335.80,4971.00,5375.00,5530.00,6.65,1000.00,256.00
2532.00,2.00,240.00,35683.00,34742.00,9563.00,275.00,3824.46,4033.00,3743.00,3743.00,335.80,4971.00,5375.00,5530.00,10.88,1000.00,268.00
2532.00,3.00,250.00,433562.00,424442.00,100153.00,236.00,3824.46,4033.00,3743.00,3743.00,335.80,4971.00,5375.00,5530.00,14.80,1000.00,231.00
2532.00,3.00,270.00,1446672.00,1439908.00,348648.00,242.00,3824.46,4033.00,3743.00,3743.00,335.80,4971.00,5375.00,5530.00,13.12,1000.00,241.00
2532.00,5.00,280.00,1852462.00,1834359.00,477935.00,261.00,3824.46,4033.00,3743.00,3743.00,335.80,4971.00,5375.00,5530.00,21.59,1000.00,258.00
2532.00,5.00,290.00,2205219.00,2176070.00,553510.00,254.00,3824.46,4033.00,3743.00,3743.00,335.80,4971.00,5375.00,5530.00,21.67,1000.00,251.00
2532.00,5.00,300.00,2081011.00,1979496.00,518172.00,262.00,3824.46,4033.00,3743.00,3743.00,335.80,4971.00,5375.00,5530.00,13.91,1000.00,249.00
