"","actual","predicted"
"815",351,346.990586270398
"829",400,388.310121414476
"1834",347,356.262311678763
"1238",723,715.135274612339
"1982",358,344.966255001945
"1027",652,688.493009967046
"2095",786,772.081447849689
"306",247,280.04000297834
"1524",320,309.373072877717
"56",417,408.085621499217
"1158",305,302.572365416218
"1008",455,617.03726876193
"863",602,589.725679225427
"1282",514,525.265844646547
"1387",522,524.019398770465
"1341",336,338.022808113871
"944",273,286.908235906831
"901",445,422.492030806505
"1184",418,421.03575297276
"82",564,531.962346956475
"1445",305,317.999690158112
"1622",756,733.538330154535
"1560",532,521.7708784358
"111",238,331.803039241588
"1684",351,345.384979536072
"470",282,253.781999111
"1909",354,341.402235402525
"211",390,375.95555640075
"1947",683,678.858617564697
"141",317,305.260832820906
"1717",477,456.900269983457
"1858",630,622.454591795623
"452",302,391.511564334352
"1994",346,338.440222095506
"892",299,328.519978627101
"1464",515,517.616494992331
"2006",648,634.384357117022
"1437",537,530.4774703504
"1000",313,313.299941994787
"1646",328,332.760383351407
"32",247,252.784568992635
"806",277,270.277025246653
"1295",316,294.921087642103
"635",640,678.925259427144
"1364",533,533.036692938947
"559",627,619.604231436236
"649",433,428.271236455548
"433",309,325.22065777018
"1979",556,542.061171843144
"97",311,297.08041104606
"2086",710,705.71799416565
"1759",327,321.334731121375
"1924",515,533.173146631001
"1086",692,686.548870996431
"1950",330,323.485349602069
"2065",353,349.535266006392
"29",242,239.710774173001
"96",262,252.908464762768
"1572",373,383.667702437753
"1403",401,402.216955552977
"1916",359,367.16477198234
"27",249,253.52475622457
"1949",383,385.312151291839
"598",351,355.625744952903
"1226",367,361.708534984615
"1912",316,324.102709797242
"768",275,266.43309484557
"1069",321,331.821589705907
"1166",778,764.091020485303
"1336",430,424.952571572113
"2042",521,521.381847639872
"852",291,267.686862966367
"144",328,314.10068557344
"356",269,298.080522413629
"1508",451,446.280171720456
"1591",517,516.09474224181
"2076",345,356.974454551792
"571",540,606.676617015684
"818",331,324.120595314847
"844",284,292.039436624317
"1018",352,342.631336967048
"483",499,554.927903234826
"2072",367,364.637551674106
"1847",545,551.096275134668
"517",523,509.057656958663
"1642",302,295.424874178539
"296",411,422.492212999943
"1554",391,397.433033819116
"1036",337,325.022104397265
"1693",346,482.943490785439
"809",349,341.582203545535
"904",545,532.069073468288
"481",232,256.973811605799
"772",291,291.92474612837
"1763",302,325.066404832503
"299",447,428.413651965247
"454",286,283.342543315054
"401",567,546.729463696356
"781",625,609.977409176395
"933",665,651.046866108568
"1707",403,398.994462022089
"1279",502,494.603563685154
"390",281,279.637135314014
"2014",357,356.194365842176
"289",293,291.194517734857
"2029",311,314.885591435258
"643",268,291.651641588491
"1706",335,325.082108645278
"992",290,276.479981804074
"661",383,381.391739642994
"504",236,239.912931107292
"2035",532,510.839810441645
"43",610,605.579006988388
"1874",388,383.664044425989
"1644",310,306.292642994925
"587",311,304.281234265788
"1223",290,293.199164048261
"715",496,509.723483635132
"1786",456,464.647207964266
"464",261,277.92582168704
"2081",732,718.077688250544
"1470",775,753.983358888372
"1170",363,395.827835521583
"341",603,585.873859122717
"466",266,256.565487648932
"1144",286,268.523331762162
"451",269,333.299588172722
"748",308,327.304747474156
"2073",364,352.398379741019
"1373",284,270.755350651985
"1552",318,321.472583803086
"412",279,286.47893158248
"417",591,580.773334466161
"1115",401,392.601297208256
"2100",712,704.463247389036
"2025",519,527.141753053446
"1220",317,302.372280286033
"1857",366,407.452139911585
"348",251,253.323877117795
"947",382,393.771794180848
"1563",553,563.517414424401
"744",424,410.34350959688
"1454",359,361.067014467758
"693",257,246.467865939503
"124",368,403.709141257295
"1806",369,362.993018176715
"3",475,458.342882754107
"2069",385,394.91098435112
"1446",308,308.478779122845
"396",243,256.921778606677
"241",244,246.3292408983
"1085",711,703.180193299041
"1695",553,587.505804952461
"647",682,678.743566588228
"906",447,466.760316130517
"640",283,268.829244893493
"85",214,266.52110315352
"845",288,282.944048216386
"1345",436,433.56821219426
"1090",786,769.699610463703
"357",317,347.183736429104
"660",325,319.633369191287
"1278",452,451.380234561971
"321",276,289.96567747066
"193",347,333.064530105964
"558",642,670.147178390353
"1863",459,473.219477871542
"1808",349,346.90214225209
"1609",343,334.359030080938
"407",573,564.444108468272
"1553",320,328.002119739424
"1990",322,320.625381344836
"1592",512,498.049194646328
"941",428,423.716149625842
"629",594,585.794580203507
"1335",521,514.674257094468
"1044",337,323.620829734259
"434",354,343.821786238985
"1600",327,305.166394699506
"1102",685,674.398906773519
"162",262,320.867710721777
"1307",359,362.098223133314
"1032",392,408.729781605595
"2040",577,570.218427982841
"199",358,346.325060579515
"1856",562,570.118960665577
"1535",358,362.780227626455
"2058",319,312.45951854366
"1111",446,459.951968438436
"537",234,369.135542248506
"680",471,447.027899132966
"737",393,376.832432675868
"1519",529,514.984887212808
"658",269,277.608465712222
"459",234,427.254141322558
"1898",576,560.504227843518
"669",437,428.725683189188
"1542",688,696.369145773741
"1309",281,277.280268138308
"1156",329,317.112043635355
"787",517,556.994892429133
"1937",368,369.195992354549
"230",355,337.817348668877
"1638",594,613.569619605839
"180",487,482.351827559508
"2063",368,345.642041164425
"1368",368,377.299271263153
"154",418,417.729257829542
"1777",674,673.960228491342
"873",617,605.649131048081
"52",352,365.993958078794
"1485",673,656.711967448602
"859",569,645.371113647168
"782",548,544.865350012148
"677",504,483.982584065562
"1584",502,488.055106101705
"1518",496,503.567485438188
"979",464,573.440496255904
"508",315,287.916722674463
"1839",338,347.632472519655
"139",380,358.876439249515
"1531",360,363.386368019858
"967",309,312.398784735553
"1416",327,324.546792850323
"1620",609,658.062152115165
"2054",576,564.298137786711
"462",230,239.522436793031
"1165",583,570.991654551415
"1504",535,523.57909295414
"604",414,397.904551565399
"1523",306,312.851675796659
"632",494,485.68364988665
"2037",367,362.297246079245
"1164",661,644.71803435128
"1891",379,379.0694955157
"372",476,471.000101357194
"778",262,257.65523519025
"286",299,297.632516519905
"785",503,491.397788696895
"1753",249,293.391378624725
"872",309,299.254987413369
"1615",529,592.012957683029
"1543",719,726.308673401084
"1064",411,390.781947593027
"603",418,393.611724746449
"994",371,355.110656700193
"1073",277,272.338355496092
"110",282,324.306553183724
"1639",540,600.192785136238
"816",344,334.69221608086
"936",648,628.898563567364
"1826",400,393.392662547416
"758",407,397.470693866642
"939",722,701.846917668753
"1748",551,537.112612683189
"1172",305,326.889725960609
"1832",368,350.068164744676
"1580",540,526.072180392926
"1607",374,375.104826231473
"1534",326,314.313511879642
"1076",323,328.166660824569
"965",310,306.229414150962
"905",370,379.518115968176
"293",281,294.943873369223
"712",700,694.397060103347
"112",121,176.707002551986
"1655",532,543.257122468371
"149",668,626.35601713944
"1452",311,313.756827004085
"479",547,603.949603281795
"208",269,270.407021317442
"1967",615,613.367447752398
"594",470,462.597587116336
"237",234,251.364521403726
"1586",508,514.682137411451
"37",443,433.210494707305
"883",268,254.016158723792
"1747",619,603.013447703212
"786",689,696.661977832161
"1030",586,561.083436563496
"195",541,532.74456176283
"1191",329,324.817672561779
"172",244,246.369331792049
"731",288,293.940814416549
"1837",344,363.407152565948
"181",460,462.85043573431
"384",324,315.049815288708
"732",299,292.25492207631
"2039",386,379.660749795838
"36",468,459.200580883534
"258",729,699.448047831799
"1797",366,368.426946896583
"358",373,387.892040095146
"391",307,319.303683550212
"2053",586,572.601037480864
"949",690,666.24278726627
"1737",428,422.104216094661
"1234",306,299.234310824702
"1902",548,537.759472923444
"1127",573,557.552713684209
"1670",527,508.259502061041
"866",299,286.979268831589
"1274",381,377.457321830715
"745",458,446.356963442076
"1995",354,353.05108116402
"2024",691,679.640376102152
"1372",328,314.34747566853
"1414",308,301.604779843003
"386",275,289.428165114958
"793",309,306.212471595521
"1944",573,586.023030293271
"840",277,288.431057652092
"2085",675,674.147329150993
"1474",366,383.674983144657
"1058",663,656.454771615415
"720",299,286.989924732809
"1436",596,594.895913808704
"2074",301,310.613799899012
"689",287,332.532310805261
"764",280,270.364953019764
"917",238,251.919530273481
"858",544,535.279340157235
"1708",404,410.436732591511
"1866",755,741.144518236091
"991",310,367.880671222327
"849",295,296.314367667852
"1783",368,365.894929930133
"535",286,267.256359596062
"706",516,514.100808759799
"1260",434,437.582039317559
"274",393,380.161503568607
"628",392,382.070398039365
"825",373,361.457195649532
"1285",504,489.93494008471
"178",424,397.96362876193
"67",359,356.663185487049
"997",275,262.817036964986
"1133",377,376.367993376069
"573",398,418.913575661589
"1472",752,736.372013337672
"1338",297,297.040687704323
"1528",316,312.183487516914
"1502",367,376.375907854744
"1977",556,542.201475225592
"808",312,306.388049354412
"1388",531,523.701473656148
"1815",445,447.008988560586
"513",287,273.025311036081
"1573",446,453.57156444119
"1882",392,389.876265851745
"1149",303,292.023533550925
"986",487,508.872437209079
"329",376,375.821439492956
"23",231,235.532597303016
"900",347,346.522389531152
"1805",386,379.259489294526
"1382",322,324.073801285936
"138",170,179.099952602543
"565",284,273.22811142301
"1349",353,349.054663607773
"1466",691,678.938691572268
"107",191,234.570619537194
"19",247,249.387820899516
"315",221,218.659068397897
"469",259,240.629842241445
"1176",378,362.707243904494
"122",262,263.825935521127
"503",323,293.434600433375
"486",205,218.958517802612
"1230",320,307.961243894417
"1690",276,304.509928210944
"1559",699,681.639576523959
"593",428,427.423666428954
"1287",464,495.035482966903
"747",480,470.455868685198
"1650",390,408.80154558521
"765",292,290.496003214658
"1593",454,475.268811370639
"1117",430,420.442961476164
"1602",307,299.595640350844
"1831",324,321.341246274519
"15",319,306.762021016325
"2096",705,696.197058870508
"61",218,251.614200764937
"1827",312,300.867468423611
"1895",577,581.162176785997
