"","output_yield","year","reginal_zone","province_code","planted_area","harvested_area","production_ton","yield_ha_area","sale_price","fertilizer_use","cost","Temp","RainDay","Rainfall"
"1732",606,2555,12,10,310898,309836,188293,608,9493.17,26.39,4557.14,24,16,1
"1733",516,2555,12,20,198132,192633,102333,531,9493.17,27.35,4557.14,10,2,8
"1734",562,2555,12,30,34982,33804,19657,581,9493.17,24.3,4557.14,19,12,2
"1735",573,2555,13,40,12392,12047,7104,590,9493.17,28.55,4557.14,9,13,1
"1736",633,2555,13,50,149597,143107,94676,662,9493.17,29.17,4557.14,26,9,2
"1737",428,2555,13,60,102933,101262,44090,435,9493.17,13.74,4557.14,5,1,6
"1738",442,2555,9,70,257236,241260,113669,471,10043,20.54,4557.14,5,8,6
"1739",601,2555,9,80,1425633,1415211,856868,605,9211.67,37.1,4557.14,16,9,2
"1740",570,2555,9,90,1099486,1072985,626622,584,9446.67,37.86,4557.14,10,16,1
"1741",643,2555,11,100,11456,11240,7364,655,9493.17,25.72,4557.14,14,17,5
"1742",503,2555,11,110,3381,3340,1702,510,9493.17,19.62,4557.14,3,8,10
"1743",627,2555,11,120,532907,528964,334088,632,9716.1,36.74,4557.14,23,14,3
"1744",610,2555,10,130,1391395,1381893,848881,614,9748.33,35.52,4557.14,30,13,0
"1745",610,2555,10,140,1810184,1794141,1104458,616,9304.17,38.98,4557.14,19,5,2
"1746",558,2555,8,150,2509912,2448133,1400735,572,9294.08,42.07,4557.14,11,8,5
"1747",619,2555,8,160,606297,603040,375467,623,10107.36,41.97,4557.14,24,13,6
"1748",551,2555,8,170,956415,942310,526583,559,9810,29.04,4557.14,29,14,8
"1749",414,2555,1,180,9044,8745,3748,429,10554.67,16.53,4153.09,24,5,5
"1750",270,2555,1,190,152900,102603,41256,402,10446,16.32,4153.09,3,17,4
"1751",307,2555,1,200,359729,302666,110332,365,10554.67,17.62,4153.09,3,2,3
"1752",353,2555,1,210,92562,84325,32633,387,10554.67,20.82,4153.09,2,5,1
"1753",249,2555,1,211,102801,82153,25633,312,10554.67,16.42,4153.09,1,12,7
"1754",299,2555,2,220,486352,428018,145206,339,10000,18.59,4153.09,3,4,8
"1755",349,2555,2,230,449237,442614,156933,355,10554.67,16.37,4153.09,20,9,1
"1756",262,2555,2,240,85392,68506,22363,326,10554.67,18.96,4153.09,12,2,4
"1757",297,2555,3,250,652063,526910,193625,367,10925,20.77,4153.09,5,6,3
"1758",269,2555,3,260,629240,525570,169522,323,10554.67,16.66,4153.09,3,6,1
"1759",327,2555,3,270,2486026,2368806,812552,343,10554.67,22.03,4153.09,8,8,3
"1760",353,2555,5,280,2689296,2586066,948214,367,10554.67,30.83,4153.09,4,11,9
"1761",340,2555,5,290,3181296,2851129,1080900,379,10554.67,31.13,4153.09,22,3,2
"1762",323,2555,5,300,2803793,2421086,906625,374,10554.67,32.13,4153.09,22,10,0
"1763",302,2555,4,310,1203570,965150,363025,376,10554.67,26.95,4153.09,7,7,5
"1764",275,2555,4,320,2076863,1506791,570523,379,10554.67,29.39,4153.09,1,6,4
"1765",301,2555,4,330,426900,353699,128661,364,10554.67,25.06,4153.09,7,1,2
"1766",278,2555,4,340,667615,542353,185743,342,10554.67,23.8,4153.09,27,5,4
"1767",330,2555,6,350,917372,821441,302499,368,10554.67,20.17,4153.09,3,12,2
"1768",276,2555,6,360,3243289,2532096,896365,354,10554.67,29.26,4153.09,17,0,4
"1769",626,2555,7,370,405427,400135,253816,634,9642.92,50.5,5258.63,15,10,3
"1770",546,2555,7,380,738780,723155,403685,558,9655.42,39.86,5258.63,14,14,2
"1771",692,2555,14,390,316974,314592,219449,698,9640.83,49.73,5258.63,30,3,6
"1772",659,2555,14,400,787593,784678,519376,662,9680.42,52.97,5258.63,24,10,7
"1773",694,2555,14,410,1212173,1196404,841281,703,9866.25,53.87,5258.63,18,2,7
"1774",668,2555,14,420,345606,345120,230754,669,9661.67,47.42,5258.63,10,12,0
"1775",643,2555,15,430,959758,941648,616768,655,9559.58,41.79,5258.63,9,6,6
"1776",717,2555,15,440,119324,118210,85569,724,9559.58,48.83,5258.63,18,9,2
"1777",674,2555,15,450,113302,112520,76362,679,9559.58,46.04,5258.63,3,12,8
"1778",741,2555,15,460,338306,337476,250525,742,9661.67,49.94,5258.63,16,12,5
"1779",563,2555,18,470,457979,452485,257742,570,9555,44.3,5258.63,7,11,8
"1780",367,2555,18,480,457728,400277,168016,420,9465,34.52,5258.63,29,2,5
"1781",620,2555,18,490,736547,720460,456374,633,9855.83,45.96,5258.63,3,8,0
"1782",275,2555,20,500,777303,689112,213457,310,9942.73,27.24,5258.63,27,1,2
"1783",368,2555,20,510,26395,26395,9715,368,9727.08,25,5258.63,16,13,1
"1784",398,2555,20,520,21804,21612,8675,401,9727.08,27.88,5258.63,23,10,2
"1785",417,2555,19,530,21760,21580,9064,420,9396,30.56,5258.63,14,16,1
"1786",456,2555,19,540,85862,79251,39125,494,10082.22,28.17,5258.63,14,12,0
"1787",799,2555,19,550,45139,44993,36045,801,9881.44,40.43,5258.63,29,12,0
"1788",679,2555,17,560,14118,13988,9584,685,9868.73,37.97,5258.63,27,1,3
"1789",748,2555,17,570,405611,401106,303371,756,9960.64,48.49,5258.63,16,13,0
"1790",604,2555,16,580,420433,411962,253828,616,9734.83,39.06,5258.63,4,4,10
