"output_yield","year","reginal_zone","province_code"
528,2532,12,10
523,2532,12,20
475,2532,12,30
458,2532,13,40
510,2532,13,50
297,2532,13,60
390,2532,9,70
421,2532,9,80
357,2532,9,90
603,2532,11,100
394,2532,11,120
424,2532,10,130
337,2532,10,140
373,2532,8,150
319,2532,8,160
476,2532,8,170
303,2532,1,180
251,2532,1,200
247,2532,1,210
274,2532,2,220
256,2532,2,230
268,2532,2,240
231,2532,3,250
241,2532,3,270
258,2532,5,280
251,2532,5,290
249,2532,5,300
235,2532,4,310
242,2532,4,320
328,2532,4,330
299,2532,4,340
247,2532,6,350
232,2532,6,360
420,2532,7,370
352,2532,7,380
468,2532,14,390
443,2532,14,400
439,2532,14,410
345,2532,14,420
384,2532,15,430
709,2532,15,440
411,2532,15,450
610,2532,15,460
400,2532,18,470
257,2532,18,480
468,2532,18,490
235,2532,20,510
286,2532,20,520
365,2532,19,530
370,2532,19,540
562,2532,19,550
352,2532,17,560
584,2532,17,570
254,2532,16,580
326,2532,16,590
417,2532,17,600
408,2532,16,610
286,2532,16,620
243,2532,21,630
267,2532,21,640
218,2532,21,650
268,2532,23,660
316,2532,23,670
225,2532,23,680
245,2532,23,690
236,2532,22,700
359,2532,22,710
249,2532,22,720
277,2532,22,730
263,2532,24,740
295,2532,24,750
259,2532,24,760
491,2533,12,10
452,2533,12,20
474,2533,12,30
448,2533,13,40
587,2533,13,50
444,2533,13,60
368,2533,9,70
251,2533,9,80
279,2533,9,90
564,2533,11,100
414,2533,11,120
241,2533,10,130
214,2533,10,140
206,2533,8,150
187,2533,8,160
272,2533,8,170
287,2533,1,180
269,2533,1,200
225,2533,1,210
264,2533,2,220
218,2533,2,230
326,2533,2,240
245,2533,3,250
262,2533,3,270
311,2533,5,280
271,2533,5,290
262,2533,5,300
263,2533,4,310
249,2533,4,320
327,2533,4,330
255,2533,4,340
193,2533,6,350
153,2533,6,360
181,2533,7,370
191,2533,7,380
284,2533,14,390
249,2533,14,400
282,2533,14,410
238,2533,14,420
121,2533,15,430
393,2533,15,440
145,2533,15,450
241,2533,15,460
111,2533,18,470
123,2533,18,480
298,2533,18,490
358,2533,20,510
345,2533,20,520
328,2533,19,530
262,2533,19,540
423,2533,19,550
368,2533,17,560
261,2533,17,570
238,2533,16,580
317,2533,16,590
436,2533,17,600
402,2533,16,610
272,2533,16,620
224,2533,21,630
229,2533,21,640
221,2533,21,650
283,2533,23,660
384,2533,23,670
233,2533,23,680
254,2533,23,690
170,2533,22,700
380,2533,22,710
246,2533,22,720
317,2533,22,730
317,2533,24,740
350,2533,24,750
328,2533,24,760
480,2534,12,10
402,2534,12,20
489,2534,12,30
490,2534,13,40
668,2534,13,50
480,2534,13,60
413,2534,9,70
435,2534,9,80
276,2534,9,90
418,2534,11,100
401,2534,11,120
373,2534,10,130
314,2534,10,140
322,2534,8,150
261,2534,8,160
276,2534,8,170
469,2534,1,180
262,2534,1,200
221,2534,1,210
235,2534,2,220
269,2534,2,230
368,2534,2,240
209,2534,3,250
236,2534,3,270
294,2534,5,280
245,2534,5,290
235,2534,5,300
244,2534,4,310
235,2534,4,320
238,2534,4,330
225,2534,4,340
328,2534,6,350
283,2534,6,360
424,2534,7,370
389,2534,7,380
487,2534,14,390
460,2534,14,400
522,2534,14,410
427,2534,14,420
394,2534,15,430
664,2534,15,440
440,2534,15,450
561,2534,15,460
368,2534,18,470
353,2534,18,480
441,2534,18,490
394,2534,20,510
330,2534,20,520
347,2534,19,530
287,2534,19,540
541,2534,19,550
455,2534,17,560
621,2534,17,570
350,2534,16,580
358,2534,16,590
450,2534,17,600
362,2534,16,610
283,2534,16,620
294,2534,21,630
267,2534,21,640
299,2534,21,650
240,2534,23,660
270,2534,23,670
269,2534,23,680
254,2534,23,690
291,2534,22,700
390,2534,22,710
315,2534,22,720
351,2534,22,730
330,2534,24,740
323,2534,24,750
357,2534,24,760
247,2535,12,10
179,2535,12,20
416,2535,12,30
342,2535,13,40
340,2535,13,50
420,2535,13,60
382,2535,9,70
510,2535,9,80
341,2535,9,90
355,2535,11,100
157,2535,11,110
392,2535,11,120
417,2535,10,130
355,2535,10,140
344,2535,8,150
238,2535,8,160
376,2535,8,170
287,2535,1,180
239,2535,1,200
217,2535,1,210
234,2535,2,220
271,2535,2,230
251,2535,2,240
288,2535,3,250
244,2535,3,270
255,2535,5,280
253,2535,5,290
230,2535,5,300
246,2535,4,310
278,2535,4,320
282,2535,4,330
199,2535,4,340
304,2535,6,350
257,2535,6,360
356,2535,7,370
291,2535,7,380
500,2535,14,390
459,2535,14,400
537,2535,14,410
380,2535,14,420
