"Year","Reginal_Zone","Province_Code","Planted_Area","Harvested_Area","Production_Ton","Yield_HA_Area","Sale_Price","Highest_Price","Lowest_Price","Peak_Price","Compitation_Price","Fertilizer1_Price","Fertilizer2_Price","Fertilizer3_Price","Fertilizer_Use","Cost","Yield_PA_Area"
2532,12,10," 216,981 "," 212,730 "," 114,566 ",539," 3,824 "," 4,033 "," 3,743 "," 3,743 "," 2,969 "," 4,971 "," 5,375 "," 5,530 ",6.28,"1,000.00",528
2532,12,20," 150,848 "," 150,602 "," 78,894 ",524," 3,824 "," 4,033 "," 3,743 "," 3,743 "," 2,969 "," 4,971 "," 5,375 "," 5,530 ",3.91,"1,000.00",523
2532,12,30," 11,219 "," 11,113 "," 5,329 ",480," 3,824 "," 4,033 "," 3,743 "," 3,743 "," 2,969 "," 4,971 "," 5,375 "," 5,530 ",3.3,"1,000.00",475
2532,13,40," 24,881 "," 24,825 "," 11,395 ",459," 3,824 "," 4,033 "," 3,743 "," 3,743 "," 2,969 "," 4,971 "," 5,375 "," 5,530 ",21.13,"1,000.00",458
2532,13,50," 147,707 "," 147,262 "," 75,331 ",512," 3,824 "," 4,033 "," 3,743 "," 3,743 "," 2,969 "," 4,971 "," 5,375 "," 5,530 ",9.43,"1,000.00",510
2532,13,60," 83,441 "," 83,261 "," 24,782 ",298," 3,824 "," 4,033 "," 3,743 "," 3,743 "," 2,969 "," 4,971 "," 5,375 "," 5,530 ",0.74,"1,000.00",297
2532,9,70," 147,395 "," 143,771 "," 57,484 ",400," 3,824 "," 4,033 "," 3,743 "," 3,743 "," 2,969 "," 4,971 "," 5,375 "," 5,530 ",6.53,"1,000.00",390
2532,9,80," 1,397,097 "," 1,377,944 "," 588,178 ",427," 3,824 "," 4,033 "," 3,743 "," 3,743 "," 352 "," 4,971 "," 5,375 "," 5,530 ",10.25,"1,000.00",421
2532,9,90," 770,183 "," 751,272 "," 274,955 ",366," 3,824 "," 4,033 "," 3,743 "," 3,743 "," 352 "," 4,971 "," 5,375 "," 5,530 ",5.91,"1,000.00",357
2532,11,100," 706 "," 706 "," 426 ",603," 3,824 "," 4,033 "," 3,743 "," 3,743 "," 2,969 "," 4,971 "," 5,375 "," 5,530 ",8.93,"1,000.00",603
