"Year_coded","Region_coded","Province_coded","Planted_Area","Harvested_Area","Production_Ton","Yield_HA_Area","Sale_Price","Highest_Price","Lowest_Price","Peak_Price","Compitation_Price","Fertilizer1_Price","Fertilizer2_Price","Fertilizer3_Price","Fertilizer_Use","Cost","Yield_PA_Area"
0,11,0,632,625,102,539,67,97,16,48,47,14,17,17,6.28,2,528
0,11,10,354,346,1871,524,67,97,16,48,47,14,17,17,3.91,2,523
0,11,20,113,105,1520,480,67,97,16,48,47,14,17,17,3.3,2,475
0,12,30,732,747,96,459,67,97,16,48,47,14,17,17,21.13,2,458
0,12,40,347,338,1833,512,67,97,16,48,47,14,17,17,9.43,2,510
0,12,50,1912,1935,879,298,67,97,16,48,47,14,17,17,0.74,2,297
0,8,60,343,324,1600,400,67,97,16,48,47,14,17,17,6.53,2,390
0,8,70,298,290,1617,427,67,97,16,48,63,14,17,17,10.25,2,421
0,8,80,1831,1823,973,366,67,97,16,48,63,14,17,17,5.91,2,357
0,10,90,1753,1768,1303,603,67,97,16,48,47,14,17,17,8.93,2,603
0,10,110,1097,1115,240,399,67,97,16,48,63,14,17,17,6.28,2,394
0,9,120,94,72,1380,435,67,97,16,48,63,14,17,17,15.35,2,424
0,9,130,417,422,1589,339,67,97,16,48,63,14,17,17,16.99,2,337
0,7,140,656,629,1927,387,67,97,16,48,63,14,17,17,14.07,2,373
0,7,150,1601,1586,557,325,67,97,16,48,63,14,17,17,5.54,2,319
0,7,160,2043,2041,1338,483,67,97,16,48,63,14,17,17,0.99,2,476
0,0,170,1789,1804,747,303,67,97,16,48,57,14,17,17,0.23,1,303
0,0,190,1326,1298,30,260,67,97,16,48,57,14,17,17,6.7,1,251
0,0,200,190,157,1051,257,67,97,16,48,57,14,17,17,7.2,1,247
0,1,210,873,877,1879,277,67,97,16,48,57,14,17,17,6.94,1,274
0,1,220,619,611,1545,259,67,97,16,48,57,14,17,17,6.65,1,256
0,1,230,1120,1117,2064,275,67,97,16,48,57,14,17,17,10.88,1,268
0,2,240,1358,1341,1,236,67,97,16,48,57,14,17,17,14.8,1,231
0,2,260,329,325,1137,242,67,97,16,48,57,14,17,17,13.12,1,241
0,4,270,500,495,1409,261,67,97,16,48,57,14,17,17,21.59,1,258
0,4,280,646,638,1562,254,67,97,16,48,57,14,17,17,21.67,1,251
0,4,290,602,551,1481,262,67,97,16,48,57,14,17,17,13.91,1,249
0,3,300,850,840,1708,241,67,97,16,48,57,14,17,17,10.83,1,235
0,3,310,48,37,909,249,67,97,16,48,57,14,17,17,18.07,1,242
0,3,320,346,285,1422,355,67,97,16,48,57,14,17,17,9.62,1,328
0,3,330,724,688,1809,317,67,97,16,48,57,14,17,17,8.84,1,299
0,5,340,1716,1629,432,278,67,97,16,48,57,14,17,17,10.09,1,247
0,5,350,737,653,1606,261,67,97,16,48,57,14,17,17,13.02,1,232
0,6,360,1712,1713,1015,423,67,97,16,48,48,14,17,17,33.67,1,420
0,6,370,2105,2067,1136,363,67,97,16,48,56,14,17,17,10.15,1,352
0,13,380,1312,1303,575,477,67,97,16,48,56,14,17,17,21.94,1,468
0,13,390,2089,2063,1312,451,67,97,16,48,56,14,17,17,16.08,1,443
0,13,400,112,44,1433,473,67,97,16,48,56,14,17,17,35.12,1,439
0,13,410,1328,1279,270,363,67,97,16,48,56,14,17,17,12.17,1,345
0,14,420,33,26,1236,386,67,97,16,48,37,14,17,17,12.94,1,384
0,14,430,361,351,59,714,67,97,16,48,37,14,17,17,50.72,1,709
0,14,440,565,565,1913,411,67,97,16,48,37,14,17,17,27.43,1,411
0,14,450,1400,1391,991,615,67,97,16,48,37,14,17,17,47.94,1,610
0,17,460,1497,1485,640,401,67,97,16,48,37,14,17,17,48.36,1,400
0,17,470,320,308,1178,260,67,97,16,48,56,14,17,17,10.61,1,257
0,17,480,14,4,1404,471,67,97,16,48,56,14,17,17,24.57,1,468
0,19,500,339,329,1130,237,67,97,16,48,48,14,17,17,8.14,1,235
0,19,510,2109,2105,1012,287,67,97,16,48,37,14,17,17,16.01,1,286
0,18,520,344,335,1531,367,67,97,16,48,56,14,17,17,14.47,1,365
0,18,530,700,696,1984,372,67,97,16,48,56,14,17,17,10.51,1,370
0,18,540,172,177,1730,566,67,97,16,48,37,14,17,17,34.5,1,562
0,16,550,1589,1579,626,354,67,97,16,48,37,14,17,17,31.32,1,352
0,16,560,1302,1288,827,596,67,97,16,48,56,14,17,17,40.3,1,584
0,15,570,1152,952,2040,301,67,97,16,48,56,14,17,17,26.71,1,254
0,15,580,1449,1438,376,331,67,97,16,48,56,14,17,17,22.68,1,326
0,16,590,1531,1533,749,417,67,97,16,48,15,14,17,17,6.12,1,417
0,15,600,983,961,200,421,67,97,16,48,56,14,17,17,20.87,1,408
0,15,610,2033,1969,943,307,67,97,16,48,56,14,17,17,5.68,1,286
0,20,620,335,273,1145,265,67,97,16,48,16,14,17,17,19.59,1,243
0,20,630,659,650,1630,272,67,97,16,48,16,14,17,17,9.79,1,267
0,20,640,1234,996,1936,264,67,97,16,48,16,14,17,17,10.61,1,218
0,22,650,1281,1280,50,270,67,97,16,48,16,14,17,17,12.65,1,268
0,22,660,1073,1104,61,316,67,97,16,48,16,14,17,17,20.33,1,316
0,22,670,27,13,781,228,67,97,16,48,16,14,17,17,18.71,1,225
0,22,680,178,175,1044,249,67,97,16,48,16,14,17,17,24.25,1,245
0,21,690,11,1904,830,293,67,97,16,48,16,14,17,17,12.92,1,236
0,21,700,1406,1369,404,373,67,97,16,48,16,14,17,17,19.09,1,359
0,21,710,1296,1187,2,274,67,97,16,48,16,14,17,17,9.55,1,249
0,21,720,2028,2011,911,286,67,97,16,48,16,14,17,17,9.25,1,277
0,23,730,558,498,1493,284,67,97,16,48,16,14,17,17,15.37,1,263
0,23,740,1744,1724,648,303,67,97,16,48,16,14,17,17,12.77,1,295
0,23,750,550,493,1465,279,67,97,16,48,16,14,17,17,14.79,1,259
1,11,0,778,790,194,494,65,102,12,44,35,15,16,16,10.54,2,491
1,11,10,448,423,1869,471,65,102,12,44,35,15,16,16,8.57,2,452
1,11,20,388,374,1831,478,65,102,12,44,35,15,16,16,10.47,2,474
1,12,30,596,591,2043,451,65,102,12,44,35,15,16,16,14.97,2,448
1,12,40,331,327,1948,588,65,102,12,44,35,15,16,16,7.23,2,587
1,12,50,1958,1966,1216,448,65,102,12,44,35,15,16,16,2.2,2,444
1,8,60,372,353,1599,377,65,102,12,44,35,15,16,16,7.87,2,368
1,8,70,267,165,1113,286,65,102,12,44,73,15,16,16,12.65,2,251
1,8,80,1840,1839,707,282,65,102,12,44,73,15,16,16,12.65,2,279
1,10,90,1550,1558,1081,564,65,102,12,44,35,15,16,16,10.96,2,564
1,10,110,1124,1137,299,418,65,102,12,44,73,15,16,16,6.7,2,414
1,9,120,137,1,989,276,65,102,12,44,73,15,16,16,10.2,2,241
1,9,130,418,40,1167,348,65,102,12,44,73,15,16,16,13.55,2,214
1,7,140,673,377,1398,299,65,102,12,44,73,15,16,16,9.71,2,206
1,7,150,1617,1484,86,220,65,102,12,44,73,15,16,16,5.52,2,187
1,7,160,2073,1838,937,342,65,102,12,44,73,15,16,16,4.29,2,272
